ID	Date	Days	Week	Box_code	Density	Sex_true	Sex_predicted	Disp	Dispersal_matrix	Time_sec	Active	Height	Diametre	PeristomeH
B1_40_D1_R28	12/06/17	10	1	24	1	M	M	no	0	243	1	12.6	10.2	6.1
B1_41_D1_R29	12/06/17	10	1	23	1	F	F	no	0	7200	0	13.6	10.5	6.5
B1_42_D1_R30	12/06/17	10	1	22	1	F	F	yes	3	7200	0	13.9	10.8	6.4
B1_5_D2_R1	02/06/17	0	0	4	2	M	M	yes	3	740	1	12.4	9.1	5.7
B1_4_D2_R1	02/06/17	0	0	4	2	M	F	no	0	14400	0	12.1	9.5	5.6
B1_6_D2_R2	02/06/17	0	0	5	2	F	F	yes	3	752	1	13.8	10.8	6.5
B1_7_D2_R2	02/06/17	0	0	5	2	M	M	yes	3	387	1	13.1	9.1	6.5
B1_9_D2_R3	02/06/17	0	0	6	2	F	F	yes	3	968	1	13.4	9.1	6.6
B1_8_D2_R3	02/06/17	0	0	6	2	F	M	yes	3	895	1	12.9	8.7	5.5
B1_10_D2_R4	02/06/17	0	0	7	2	F	M	no	0	569	1	13.6	10.8	6.4
B1_11_D2_R4	02/06/17	0	0	7	2	F	F	no	0	931	1	14.1	10.7	6.6
B1_12_D2_R5	02/06/17	0	0	8	2	F	F	no	0	560	1	14.6	10.9	6.8
B1_13_D2_R5	02/06/17	0	0	8	2	F	M	no	0	650	1	15.6	11.3	6.9
B1_14_D2_R6	02/06/17	0	0	9	2	F	F	yes	3	420	1	14.5	10.6	6.4
B1_15_D2_R6	02/06/17	0	0	9	2	F	M	no	0	606	1	13.6	10.4	6.9
B1_43_D2_R7	12/06/17	10	1	21	2	M	M	no	0	369	1	12.4	10.4	6.1
B1_44_D2_R7	12/06/17	10	1	21	2	F	F	yes	3	246	1	13.3	10.4	6
B1_46_D2_R8	12/06/17	10	1	20	2	M	M	yes	3	459	1	11.2	9.2	5.6
B1_45_D2_R8	12/06/17	10	1	20	2	F	F	no	0	772	1	13.7	10.5	6.1
B1_48_D2_R9	12/06/17	10	1	19	2	M	M	no	0	7200	0	12.7	9.1	5.1
B1_47_D2_R9	12/06/17	10	1	19	2	M	F	no	0	7200	0	13.2	10.5	6.1
